	Teilnehmer	AufgabeItem	Antwort	gesamt	Gesichtszellen speicher nur bestimmte Aspekt vom Gesichtsraum_dist
62	2440	54.3	einige nerven im Gehirn reagieren mit Gesicht	0	0.4279341369867774
139	2720	54.3	Gesichte zum Affen präsentieren  Nervpunkten bleiben gleich	0	0.4273192806673851
181	2776	54.3	Die Gesichten ähnelt sie sich gleich	0	0.42434007913030247
40	2375	54.3	Die Nerveimpulse und auch die verschiedene Gesichter  bleiben gleich	0	0.41820271941778
184	2780	54.3	welche Gesichtszelle funkzionieren bei den Affen wen sie Gesicht anschauen	0	0.4177010416662126
52	2400	54.3	Die Nerven nehmen die bestimmet Aspekte von einem Gesicht wahr und sind blind zur Wahrnehmung der anderen Aspekte	1	0.4142930578360299
163	2749	54.3	Strahlungen an alle Gesichter von Gehirn waren gleich	0	0.40882746189223806
24	2329	54.3	Das Gehirn entwicklent einen bestimmten räumlichen Raum für die Information , die es bekommt	0	0.39452298976987643
45	2384	54.3	Nervenimpulse entstehen in den Gesichtszellen	0	0.384574253013525
135	2709	54.3	Experiment  Gesichts	0	0.37919766808748356
157	2742	54.3	Milliarden von Gesichtszellen wurden herausgefunden.	0	0.3734184925497135
117	2542	54.3	Wenn verschidene Gesichten anzuschauen, die Gesichtszellen des Affen gleich blieben	0	0.37005740025824496
189	2789	54.3	Die EDas Gesicht	0	0.36904782926519863
41	2376	54.3	die Zelle bei veschiedenen Gesichter gleiben gleich.	0	0.3638268633783579
196	2799	54.3	Naiven kann sich manschenliche Gesicht unterscheiden.	0	0.3636861721414566
140	2721	54.3	Die gleiche Nerven reagieren an alle Gesichte	0	0.3611506627459804
34	2362	54.3	gesichtzellen verfasst fur jedes gesicht bestimmten kode	0	0.35963758339972207
54	2406	54.3	bilde in gesicht   sehr untershiedlichen gesichten bleiben gleich	0	0.358742870915596
70	2448	54.3	Welche Teilen im Gerhin für das Gesichtzellen die Verantworfung tragen	0	0.35795258858202395
15	2316	54.3	Gesichteszellen kodieren eine bestimmte raumliche Funktion.	1	0.3570344322443204
175	2770	54.3	nerveninpulsen bleiben gleich,gesichtsaspekten haben nur 1 aspekt	0	0.35218191277304456
145	2727	54.3	Für Affen ist verschiedene Gesicht gleich	0	0.35047110618907373
19	2321	54.3	Affen werden presentiert die Aktivitat in ihrer Gesichtszellen. Die Gesichtszellen können nict kodieren, jede Gesichtszelle erfastt nur eine Tätigkeit.	0	0.34865298228774155
87	2479	54.3	bleiben Gleich   aspekt im gesicht	0	0.3481197631403157
2	2294	54.3	Die Tiere speichern wenige Information	0	0.3412346805546642
171	2765	54.3	Gehirn vion Primat und Aktivität von Primat ist am Computer, Gesichtszelle hat nur einige Eigeschaften	0	0.340869484394961
150	2735	54.3	nur bestimmte Information	0	0.34069879720076757
119	2647	54.3	Affen in der Forschung, Nerven blieben gleich für unterschiedliche Gesichte, Nerven für Gesichtbereiche nicht Gesichte	1	0.3402101856242856
104	2515	54.3	Bei den Affen belieb gleich bei verschidene Gesichte	0	0.33404013256584597
126	2685	54.3	bestimmte Aspekt	0	0.32884700060392147
191	2792	54.3	Elfe kann die unterschiedliche Gesichte erkennen und auswendig lenren.	0	0.32843324896031123
153	2738	54.3	Den Affen wurden ein paar Bilder -Gesichte- gezeigt, der Teil des Gehirns bleibt gleich, obwohl verschiedene Bilder gezeigt wurden	0	0.3269720399879148
155	2740	54.3	Nerven impulse, räumliche info, beste aspekte von des gesichts	0	0.3264655702906992
160	2746	54.3	wenn die Affee das bild sieht,ist die Aktion der Gesichtzelle gleich	0	0.3228904305006508
55	2433	54.3	Nervenimpulse bleiben gleich  Wahrnemung nur einer bestimmten askpekt	0	0.3165853246712651
53	2401	54.3	die Nerven der Affen haben gleiche Impulse ,wenn sie unterschiedliche Gesichte sehen	0	0.31401513614404886
31	2349	54.3	Blieben gleich gesichtszellen gesichtsabbilden	0	0.3124117247449423
90	2486	54.3	bestimmte Asspekt haben Sie	0	0.31088053320394593
125	2682	54.3	eine bestimmte Aspekte	0	0.3068319068761416
4	2297	54.3	Nervezellen bilden eine bestimmte räumliche Situation im Gehirn und kein konkretes Bild.	0	0.3022661590712268
168	2762	54.3	ein bestimmte aspekt für jede Informacion die sie nimmt	0	0.29960093740689997
134	2707	54.3	wie die Affen die Gesichte unterschieden	0	0.2978354036562765
130	2692	54.3	eine bestimmte Aspekte ist wichtig	0	0.2916847159983271
144	2726	54.3	Affen erkenne Gesichte besser.	0	0.28862836748662435
99	2503	54.3	die nerven impulsen der einzelnen gesichtzellen blieben gleich, jede gesichtzelle erfasst einen gesicht erkenneung	0	0.2850850525535392
69	2447	54.3	Einige Bilder zeigen Nerven von Pulse  bestimmte Aspekte	0	0.2799873742603496
96	2499	54.3	eine bestimmte Aspekt wurde bearbeitet und gezeigt	0	0.27467508994670087
85	2477	54.3	jede gesichtzelle erkennt eine	0	0.2698322741477057
48	2394	54.3	nervenzelle vom gesicht der unterschiedlicher personen gleich sind	0	0.266779958343891
122	2656	54.3	nervenimpulsen von gestellte verschiedene gesichte bleiben manchmal gleich	0	0.26609136164949376
33	2359	54.3	die Zellen blieben gleich und nur verändern sich bie besonderen einzelhiten	0	0.2612842201419401
81	2461	54.3	nur eine Funktion ist wichtig, bei den anderen Funktionen bleiben die Zellen blind	0	0.25907488699461123
137	2713	54.3	erfassen nur eine	0	0.2571753363429694
149	2733	54.3	nur ein Platt funkioniert	0	0.256253154942814
107	2522	54.3	räumliche Abbildung	0	0.2537710071133532
182	2777	54.3	eine bestimmt Aspekte	0	0.253257668294919
180	2775	54.3	Es gibt nur eine bestimmte Information für jede Cell	0	0.25189313819805936
63	2441	54.3	Nervenimpulse sind gleich geblieben  räumliche informationen	0	0.24823168847651877
143	2725	54.3	Afenbilder von Geschichter präsentiert   raumliche bestimte iIformation einbilden	0	0.24761578750867208
72	2451	54.3	Studie über Affen: In der Gesischsstelle nur einige bestimmte Aspekte ergreifen werden	0	0.24652714910533113
101	2506	54.3	einen bistimmte Aspekte , Nerven	0	0.24505196968959853
91	2487	54.3	Gleich und in bestimmt häumlichen Ort abbilden	0	0.24263100060373988
169	2763	54.3	Affen, gleiche aktivität  bestimmte räumliche information	0	0.23787547323730118
186	2782	54.3	ein Aspekt	0	0.23451343140805658
111	2527	54.3	räumliceh inforamtion zu abbilden aber sehr unterc	0	0.23376285113047035
128	2690	54.3	Die Geschitszellen sind verantwortlich für bestimmte Aspekte.	0	0.22614593658190074
14	2314	54.3	Bilder zeigen, die Nervenimpulse verursachen	0	0.2246067686933485
56	2434	54.3	Die nervenimpulse bleiben gleich gesichttszelle eine raumliche info -- fur andere fnktionen blind	1	0.21856976037779707
158	2743	54.3	wie die affen die gesicht auf dem compiuter sehen und	0	0.2146535942198411
112	2532	54.3	bestimte aspeckt	0	0.21029256757845616
185	2781	54.3	millione gesichte unterscheiden	0	0.20947064686174022
9	2308	54.3	für andere Funktionen blind	0	0.20413748606114734
178	2773	54.3	Aktivität in Gehirn bleib gleich in Affen	0	0.2026777091863331
27	2335	54.3	räumliche Information	0	0.20025658929225898
167	2761	54.3	es gibt mehr verbundenen Gehirnregionen die arbeizusammen	0	0.19994592876475636
121	2649	54.3	bleiben gleich  blind	0	0.1995150393931696
173	2768	54.3	Bestimmt Informationen und Aspekt gilt	0	0.1858814159220179
84	2467	54.3	Bestimmte Aspekte, Interessante Din	0	0.18369212241985766
176	2771	54.3	in Gehirn zuständig ist	0	0.181004976466266
80	2460	54.3	Nerfenpulse bilden eine bestimmte Folge ab, beim sehen	0	0.1809066379019172
49	2395	54.3	bei eingen Testen sind die Zellen aktiv, bei anderen - blind	0	0.18010673673950095
64	2442	54.3	GESICHTZELLE SIND GLEICH BEI DER ERKENNUNG	0	0.17731428342311983
30	2347	54.3	Die Tieren und Menschen gleich gedachtnis s	0	0.17396914920426265
29	2337	54.3	Bildern von gesichte printiert und fassen die Folge zusammen	0	0.1703824162530012
93	2489	54.3	DIE GESICHTZELLEN NUR EINE BESTIMMTE INFORMATION VON DER GESICHT ERRINERN	1	0.1640382680084097
76	2456	54.3	nervenimpulse bei Zellen singleich	0	0.15632265683422764
195	2798	54.3	man kann seine Gehirn besser durch Vertrieb machen	0	0.15518101081962588
103	2509	54.3	Nervenimpulse blieben gleich, eine bestimmt Zelle fasst eine bestimmte Funktion	0	0.1540101722186844
42	2379	54.3	zwei dinge in Affe kopf eintragen damit sie die signale von gesicht verstehen zu können	0	0.14449786139585563
50	2396	54.3	Chematiche  Nerven Impulse von Ansehen um zu kodieren  Jeder zelle ist verantwortlich für jeder Einheit	0	0.14074874905245727
152	2737	54.3	eine bestimmte akt	0	0.13832611802884764
25	2331	54.3	Es gibt miliarden areale, die bei Der Annehmung hilft	0	0.13750124017019705
172	2766	54.3	Die Nerven bleiben gleich	0	0.1326653970270747
179	2774	54.3	erfasst,umsetzt,	0	0.13011930026385188
177	2772	54.3	MAGNET RESOGNANZ  BILDER VON GESICHT PREASENTIERT  DIE NERVEN IMPULSEN VON UNTERSCHIEDLICHE GESICHTER	0	0.12720614888746185
43	2380	54.3	Affen ,nerven untersichiedlich zu Menschen aber auch gleich	0	0.1260476500386004
146	2728	54.3	nervenimpullse blieben gleich	0	0.1253566618129578
37	2368	54.3	jeder Zelle ist für eine bestimmte Aufgabe verantwortlich.	0	0.1217649757448338
6	2300	54.3	Nervenimpulse blieben gleich	0	0.11907791741534413
10	2309	54.3	entwicklung,wie das affen gesehen hatte	0	0.118914895384298
123	2658	54.3	nicht alle Informationen werden gut erkannen.	0	0.11639731428344569
116	2538	54.3	hintergrund	0	0.10144917959039801
28	2336	54.3	eine Computer Algorithmus macht eigentlich diese Forschungsergebniss	0	0.10125961297011765
98	2502	54.3	der HIntergrund eine aktuellen studie	0	0.09561950571872058
97	2501	54.3	Apfen geben gleiche informationen	0	0.09516773805928924
197	2800	54.3	Computer kann unterschieden	0	0.0920298376537686
187	2785	54.3	die Affen funktioniert ähnlich wie Menschen, und die Funktionsverlauf im Affen kann ins Computer anwenden und nutzen	0	0.0911052413611455
66	2444	54.3	Afen wie Menschen	0	0.08630083855607129
115	2536	54.3	- Die Affen wurden untersucht, -   - die reaktionen blieben gleich,	0	0.07846616765932513
174	2769	54.3	Tiere könnte sich erinerin von n	0	0.07553996388489692
58	2436	54.3	besetzt bestimme Zelle	0	0.0732939115947332
106	2520	54.3	leute zellen sind starker als afen	0	0.07109905595563837
88	2482	54.3	blieben gleich	0	0.06842317661743957
110	2525	54.3	Die Nerven, die man benutzt, waren gleich.	0	0.06334316505010174
170	2764	54.3	mit Afen aktivität	0	0.061759924331542315
44	2382	54.3	ENTWIKELT EINEN COMPUTER	0	0.05929906391614981
39	2374	54.3	gleichszeitige Aktivität	0	0.05374049575776507
20	2322	54.3	Die Resultate mit Afen und Menschen sind sehr ähnlich.	0	0.05279923788994223
94	2492	54.3	cmputer algorithmus	0	0.04530835240318798
79	2459	54.3	Mit der Messung von	0	0.044698413528963754
138	2715	54.3	Nerven sind gleich.	0	0.04450689769595528
154	2739	54.3	bei a	0	0.03312305007671057
46	2385	54.3	Die Experiment mit Apfen	0	0.004745622105924774
36	2367	54.3	HV5	0	-0.030129744868520048
